"Discharge of wastewater (Physical water accounts) by discharge,"
" ","V900000 900000 Theatres, concerts, and arts activities",1658,846,497,230,93,134,203,448,284,261,213,168,104,274,273
" ","V910001 910001 Libraries, museums and other cultural activities (market)",107,108,123,121,127,141,164,183,155,149,104,81,108,124,125
" ","V910002 910002 Libraries, museums and other cultural activities (non-market)",449,455,523,563,562,617,711,767,618,530,578,427,528,584,577
" ","V920000 920000 Gambling and betting activities",4,5,4,3,3,4,6,4,4,3,3,2,6,3,4
" ","V93000 93000 Sports activities and amusement and recreation activities",1951,2209,2462,2392,2424,2559,2697,2260,2791,2576,2632,2903,3005,2916,2930
" ","V930011 930011 Sports activities (market)",452,810,927,942,895,899,1025,805,1143,1080,1177,1484,1524,1262,1225
" ","V930012 930012 Sports activities (non-market)",191,181,176,201,197,208,204,167,170,183,139,109,130,168,170
" ","V930020 930020 Amusement and recreation activities",1308,1217,1359,1249,1332,1452,1469,1287,1478,1313,1316,1310,1351,1486,1536
" ","VSA SA Other service activities",1452,1470,1513,1294,1333,1365,1406,1258,1157,1469,1595,1147,1217,1556,1884
" ","V94000 94000 Activities of membership organisations",84,78,97,74,74,89,62,66,77,424,522,314,283,467,809
" ","V940000 940000 Activities of membership organisations",84,78,97,74,74,89,62,66,77,424,522,314,283,467,809
" ","V95000 95000 Repair of personal goods",14,14,12,13,13,14,10,9,6,8,8,8,15,5,5
" ","V950000 950000 Repair of personal goods",14,14,12,13,13,14,10,9,6,8,8,8,15,5,5
" ","V96000 96000 Other personal service activities",1355,1378,1404,1206,1246,1261,1334,1183,1074,1036,1065,825,920,1084,1070
" ","V960000 960000 Other personal service activities",1355,1378,1404,1206,1246,1261,1334,1183,1074,1036,1065,825,920,1084,1070
" ","VSB SB Activities of households as employers of domestic personnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V97000 97000 Activities of households as employers of domestic personnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V970000 970000 Activities of households as employers of domestic personnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UDLREC Discharge to recipient"
" ","ETOT Industries and households",329284,330352,335892,355310,341254,355592,303033,298038,308460,290793,308854,305265,288422,290612,301380
" ","EHUSHOLD Households",11400,10931,10553,10175,10014,9600,8438,8435,6438,6386,6177,5852,5874,5795,5790
" ","EV Total industries",317884,319421,325339,345135,331239,345992,294595,289604,302022,284407,302677,299413,282548,284817,295590
" ","VA A Agriculture, forestry and fishing",290456,294450,299578,320760,308190,319754,273887,269120,280715,262391,280632,276963,260816,262552,274073
" ","V01000 01000 Agriculture and horticulture",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V010000 010000 Agriculture and horticulture",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V02000 02000 Forestry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V020000 020000 Forestry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V03000 03000 Fishing",290456,294450,299578,320760,308190,319754,273887,269120,280715,262391,280632,276963,260816,262552,274073
" ","V030000 030000 Fishing",290456,294450,299578,320760,308190,319754,273887,269120,280715,262391,280632,276963,260816,262552,274073
" ","VB B Mining and quarrying",41,0,47,43,36,42,39,37,44,0,0,0,0,0,0
" ","V06090 06090 Mining and quarrying",41,0,47,43,36,42,39,37,44,0,0,0,0,0,0
" ","V060000 060000 Extraction of oil and gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V080090 080090 Extraction of gravel and stone",41,0,47,43,36,42,39,37,44,0,0,0,0,0,0
" ","V090000 090000 Mining support service activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VC C Manufacturing",18208,19701,19461,17294,16885,19447,17344,16329,17021,18162,18221,18455,18124,17275,17865
" ","VCA CA Manufacture of food products, beverages and tobacco",11996,13061,13388,12145,13056,11511,12798,13047,12258,13042,13805,14206,14342,12805,13551
" ","V10120 10120 Manufacture of food products, beverages and tobacco",11996,13061,13388,12145,13056,11511,12798,13047,12258,13042,13805,14206,14342,12805,13551
" ","V100010 100010 Production of meat and meat products",1538,1767,1895,1695,1877,1596,1623,1501,1460,1484,1438,1367,1402,1303,1370
" ","V100020 100020 Processing and preserving of fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V100030 100030 Manufacture of dairy products",5098,4930,4666,4794,4821,4716,5722,5896,5760,6296,5857,5902,6069,5575,5321
" ","V100040 100040 Manufacture of grain mill and bakery products",0,0,0,0,0,0,0,0,0,0,40,45,45,60,60
" ","V100050 100050 Other manufacture of food products",4581,5416,5974,4832,5933,4478,4706,4870,4308,4573,5682,6086,6056,5493,6473
" ","V110000 110000 Manufacture of beverages",778,947,853,823,425,721,747,779,730,689,787,807,769,373,327
" ","V120000 120000 Manufacture of tobacco products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCB CB Textiles and leather products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V13150 13150 Textiles and leather products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V130000 130000 Manufacture of textiles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V140000 140000 Manufacture of wearing apparel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V150000 150000 Manufacture of leather and footwear",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCC CC Wood and paper products and printing",1078,1510,1173,643,478,215,166,158,125,135,133,0,0,0,0
" ","V16000 16000 Manufacture of wood and wood products",170,291,277,288,283,215,166,158,125,135,133,0,0,0,0
" ","V160000 160000 Manufacture of wood and wood products",170,291,277,288,283,215,166,158,125,135,133,0,0,0,0
" ","V17000 17000 Manufacture of paper and paper products",907,1220,896,354,194,0,0,0,0,0,0,0,0,0,0
" ","V170000 170000 Manufacture of paper and paper products",907,1220,896,354,194,0,0,0,0,0,0,0,0,0,0
" ","V18000 18000 Printing etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V180000 180000 Printing etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCD CD Oil refinery etc.",1712,1504,1423,1205,1347,1629,1398,33,1512,1724,1273,1264,1128,1430,1405
" ","V19000 19000 Oil refinery etc.",1712,1504,1423,1205,1347,1629,1398,33,1512,1724,1273,1264,1128,1430,1405
" ","V190000 190000 Oil refinery etc.",1712,1504,1423,1205,1347,1629,1398,33,1512,1724,1273,1264,1128,1430,1405
" ","VCE CE Manufacture of chemicals",2564,2802,2699,2642,1732,2750,2321,2369,2509,2568,2366,2209,1888,2088,2130
" ","V20000 20000 Manufacture of chemicals",2564,2802,2699,2642,1732,2750,2321,2369,2509,2568,2366,2209,1888,2088,2130
" ","V200010 200010 Manufacture of basic chemicals",1025,1027,1000,1020,1149,1100,964,903,834,905,864,798,791,912,862
" ","V200020 200020 Manufacture of paints and soap etc.",1538,1775,1699,1622,583,1651,1357,1466,1674,1663,1501,1412,1098,1177,1268
" ","VCF CF Pharmaceuticals",0,0,0,0,0,2624,87,73,71,97,73,89,84,104,93
" ","V21000 21000 Pharmaceuticals",0,0,0,0,0,2624,87,73,71,97,73,89,84,104,93
" ","V210000 210000 Pharmaceuticals",0,0,0,0,0,2624,87,73,71,97,73,89,84,104,93
" ","VCG CG Manufacture of plastic, glass and concrete",161,205,226,178,100,265,218,306,228,218,149,205,211,233,174
" ","V22000 22000 Manufacture of rubber and plastic products",0,0,0,0,0,0,0,0,0,0,0,16,15,0,0
" ","V220000 220000 Manufacture of rubber and plastic products",0,0,0,0,0,0,0,0,0,0,0,16,15,0,0
" ","V23000 23000 Manufacture of other non-metallic mineral products",161,205,226,178,100,265,218,306,228,218,149,189,196,233,174
" ","V230010 230010 Manufacture of glass and ceramic products",124,194,165,135,12,220,141,180,117,116,83,118,96,140,166
" ","V230020 230020 Manufacture of concrete and bricks",37,11,60,43,88,45,77,126,110,102,66,72,100,93,8
" ","VCH CH Basic metals and fabricated metal products",455,457,414,327,65,307,312,343,319,326,368,376,362,425,402
" ","V24000 24000 Manufacture of basic metals",453,454,387,296,36,275,278,306,297,302,321,326,319,370,355
" ","V240000 240000 Manufacture of basic metals",453,454,387,296,36,275,278,306,297,302,321,326,319,370,355
" ","V25000 25000 Manufacture of fabricated metal products",2,3,26,30,29,31,33,38,22,24,47,50,43,55,46
" ","V250000 250000 Manufacture of fabricated metal products",2,3,26,30,29,31,33,38,22,24,47,50,43,55,46
" ","VCI CI Manufacture of electronic components",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V26000 26000 Manufacture of electronic components",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V260010 260010 Manufacture of computers and communication equipment etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V260020 260020 Manufacture of other electronic products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCJ CJ Electrical equipment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V27000 27000 Electrical equipment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V270010 270010 Manufacture of electric motors, etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V270020 270020 Manufacture of wires and cables",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V270030 270030 Manufacture of household appliances, lamps, etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCK CK Manufacture of machinery",135,51,47,55,0,49,44,0,0,51,54,105,69,67,55
" ","V28000 28000 Manufacture of machinery",135,51,47,55,0,49,44,0,0,51,54,105,69,67,55
" ","V280010 280010 Manufacture of engines, windmills and pumps",135,51,47,55,0,49,44,0,0,51,54,105,69,67,55
" ","V280020 280020 Manufacture of other machinery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VCL CL Transport equipment",0,1,1,1,1,0,0,0,0,0,0,0,39,51,55
" ","V29000 29000 Manufacture of motor vehicles and related parts",0,0,0,0,0,0,0,0,0,0,0,0,39,51,55
" ","V290000 290000 Manufacture of motor vehicles and related parts",0,0,0,0,0,0,0,0,0,0,0,0,39,51,55
" ","V30000 30000 Manufacture of ships and other transport equipment",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
" ","V300000 300000 Manufacture of ships and other transport equipment",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
" ","VCM CM Manufacture of furniture and other manufacturing etc.",107,110,90,100,106,97,0,0,0,0,0,0,0,73,0
" ","V31320 31320 Manufacture of furniture and other manufacturing",107,110,89,100,106,97,0,0,0,0,0,0,0,73,0
" ","V310000 310000 Manufacture of furniture",107,110,89,100,106,97,0,0,0,0,0,0,0,73,0
" ","V320010 320010 Manufacture of medical instruments, etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V320020 320020 Manufacture of toys and other manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V33000 33000 Repair and installation of machinery and equipment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V330000 330000 Repair and installation of machinery and equipment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VD_E D_E Utility services",6035,3467,3949,5169,4482,4104,752,2113,2297,2215,2098,2744,2360,3757,2303
" ","VD D Electricity, gas, steam and air conditioning supply",1141,916,366,724,159,703,353,231,199,175,314,307,307,564,506
" ","V35000 35000 Electricity, gas, steam and air conditioning supply",1141,916,366,724,159,703,353,231,199,175,314,307,307,564,506
" ","V350010 350010 Production and distribution of electricity",1141,916,366,724,159,703,353,231,199,175,314,307,307,560,506
" ","V350020 350020 Manufacture and distribution of gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V350030 350030 Steam and hot water supply",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
" ","VE E Water supply, sewerage and waste management",4894,2551,3583,4445,4323,3401,398,1883,2097,2041,1783,2437,2052,3193,1798
" ","V36000 36000 Water collection, purification and supply",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V360000 360000 Water collection, purification and supply",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V37390 37390 Sewerage; waste collection, treatment and disposal activities etc.",4894,2551,3583,4445,4323,3401,398,1883,2097,2041,1783,2437,2052,3193,1798
" ","V370000 370000 Sewerage",153,211,306,717,701,696,91,209,184,297,203,209,157,745,555
" ","V383900 383900 Waste management and materials recovery",4741,2339,3277,3728,3622,2705,307,1674,1913,1744,1580,2228,1895,2447,1242
" ","VF F Construction",131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V41430 41430 Construction",131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V410009 410009 Construction of new buildings",131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V420000 420000 Civil engeneering",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V430003 430003 Professionel repair and maintenance of buildings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V430004 430004 Own-account repair and maintenance of buildings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VG_I G_I Trade and transport etc.",2132,1692,1620,1560,1402,2007,1897,1579,1650,1434,1677,1251,1248,1175,1204
" ","VG G Wholesale and retail trade",5,0,0,0,0,0,0,0,0,0,0,0,0,0,58
" ","V45000 45000 Wholesale and retail trade and repair of motor vehicles and motorcycles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V450010 450010 Sale of motor vehicles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V450020 450020 Repair and maintenance of motor vehicles etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V46000 46000 Wholesale",5,0,0,0,0,0,0,0,0,0,0,0,0,0,58
" ","V460000 460000 Wholesale",5,0,0,0,0,0,0,0,0,0,0,0,0,0,58
" ","V47000 47000 Retail sale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V470000 470000 Retail sale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VH H Transportation",2127,1692,1620,1560,1402,2007,1897,1579,1650,1434,1677,1251,1248,1175,1146
" ","V49000 49000 Land transport and transport via pipelines",30,31,49,55,33,17,33,31,0,0,0,0,0,0,0
" ","V490010 490010 Passenger rail transport, interurban",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V490020 490020 Transport by suburban trains, buses and taxi operation, etc.",0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
" ","V490030 490030 Freight transport by road and via pipeline",30,31,49,32,33,17,33,31,0,0,0,0,0,0,0
" ","V50000 50000 Water transport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V500000 500000 Water transport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V51000 51000 Air transport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V510000 510000 Air transport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V52000 52000 Support activities for transportation",2098,1661,1571,1505,1369,1990,1864,1548,1650,1434,1677,1251,1248,1175,1146
" ","V520000 520000 Support activities for transportation",2098,1661,1571,1505,1369,1990,1864,1548,1650,1434,1677,1251,1248,1175,1146
" ","V53000 53000 Postal and courier activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V530000 530000 Postal and courier activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VI I Accommodation and food service activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V55560 55560 Accommodation and food service activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V550000 550000 Hotels and similar accommodation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V560000 560000 Restaurants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VJ J Information and communication",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VJA JA Publishing, television and radio broadcasting",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V58000 58000 Publishing activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V580010 580010 Publishing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V580020 580020 Publishing of computer games and other software",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V59600 59600 Motion picture and television programme prod., sound recording; radio and televisi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V590000 590000 Motion picture and television programme production, and sound recording activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V600000 600000 Radio and television broadcasting",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VJB JB Telecommunications",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V61000 61000 Telecommunications",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V610000 610000 Telecommunications",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VJC JC IT and information service activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V62630 62630 IT and information service activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V620000 620000 Computer programming, consultancy and related activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V630000 630000 Information service activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VK K Financial and insurance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V64000 64000 Financial service activities, except insurance and pension funding",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V640010 640010 Monetary intermediation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V640020 640020 Mortgage credit institutes, etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V65000 65000 Insurance and pension funding",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V650000 650000 Insurance and pension funding",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V66000 66000 Other financial activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V660000 660000 Other financial activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VLA LA Real estate activities and renting of non-residential buildings",0,0,0,0,0,0,0,0,0,0,4,0,0,0,86
" ","V68100 68100 Buying and selling of real estate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V680010 680010 Buying and selling of real estate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V68300 68300 Renting of non-residential buildings",0,0,0,0,0,0,0,0,0,0,4,0,0,0,86
" ","V680030 680030 Renting of non-residential buildings",0,0,0,0,0,0,0,0,0,0,4,0,0,0,86
" ","VLB LB Dwellings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V68203 68203 Renting of residential buildings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V680023 680023 Renting of residential buildings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V68204 68204 Owner-occupied dwellings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V680024 680024 Owner-occupied dwellings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VM_N M_N Other business services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VM M Knowledge-based services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VMA MA Consultancy etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V69700 69700 Legal and accounting activities; activities of head offices; management consultanc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V690010 690010 Legal activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V690020 690020 Accounting and bookkeeping activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V700000 700000 Business consultancy activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V71000 71000 Architectural and engineering activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V710000 710000 Architectural and engineering activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VMB MB Scientific research and development",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V72001 72001 Scientific research and development (market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V720001 720001 Scientific research and development (market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V72002 72002 Scientific research and development (non-market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V720002 720002 Scientific research and development (non-market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VMC MC Advertising and other business services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V73000 73000 Advertising and market research",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V730000 730000 Advertising and market research",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V74750 74750 Other professional, scientific and technical activities; veterinary activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V740000 740000 Other technical business services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V750000 750000 Veterinary activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VN N Travel agents, cleaning, and other operationel services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V77000 77000 Rental and leasing activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V770000 770000 Rental and leasing activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V78000 78000 Employment activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V780000 780000 Employment activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V79000 79000 Travel agent activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V790000 790000 Travel agent activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V80820 80820 Security and investigation; services to buildings and landscape; other businness s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V800000 800000 Security and investigation activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V810000 810000 Services to buildings, cleaning and landscape activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V820000 820000 Other business service activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VO_Q O_Q Public administration, education and health",78,44,350,57,50,638,676,425,295,205,45,0,0,58,58
" ","VO O Public administration, defence and compulsory social security",78,44,350,57,50,438,469,425,295,205,45,0,0,58,58
" ","V84202 84202 Public administration etc.",78,44,350,57,50,438,469,425,295,205,45,0,0,58,58
" ","V840010 840010 Public administration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V840022 840022 Defence, public order, security and justice activities (non-market)",78,44,350,57,50,438,469,425,295,205,45,0,0,58,58
" ","V84101 84101 Rescue service etc. (market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V840021 840021 Rescue service etc. (market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VP P Education",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V85202 85202 Education (non-market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V850010 850010 Primary education",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V850020 850020 Secondary education",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V850030 850030 Higher education",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V850042 850042 Education (non-market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V85101 85101 Education (market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V850041 850041 Education (market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VQ Q Human health and social work",0,0,0,0,0,200,207,0,0,0,0,0,0,0,0
" ","VQA QA Human health activities",0,0,0,0,0,200,207,0,0,0,0,0,0,0,0
" ","V86000 86000 Human health activities",0,0,0,0,0,200,207,0,0,0,0,0,0,0,0
" ","V860010 860010 Hospital activities",0,0,0,0,0,200,207,0,0,0,0,0,0,0,0
" ","V860020 860020 Medical and dental practice activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VQB QB Residential care",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V87880 87880 Residential care",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V870000 870000 Residential care activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V880000 880000 Social work activities without accommodation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VR_S R_S Arts, entertainment and other services",804,67,335,252,195,0,0,0,0,0,0,0,0,0,0
" ","VR R Arts, entertainment and recreation activities",738,0,246,252,195,0,0,0,0,0,0,0,0,0,0
" ","V90920 90920 Arts and entertainment; libraries, museums and other cultural activities; gambling",738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V900000 900000 Theatres, concerts, and arts activities",738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V910001 910001 Libraries, museums and other cultural activities (market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V910002 910002 Libraries, museums and other cultural activities (non-market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V920000 920000 Gambling and betting activities",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V93000 93000 Sports activities and amusement and recreation activities",0,0,246,252,195,0,0,0,0,0,0,0,0,0,0
" ","V930011 930011 Sports activities (market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V930012 930012 Sports activities (non-market)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V930020 930020 Amusement and recreation activities",0,0,246,252,195,0,0,0,0,0,0,0,0,0,0
" ","VSA SA Other service activities",65,67,89,0,0,0,0,0,0,0,0,0,0,0,0
" ","V94000 94000 Activities of membership organisations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V940000 940000 Activities of membership organisations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V95000 95000 Repair of personal goods",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V950000 950000 Repair of personal goods",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V96000 96000 Other personal service activities",65,67,89,0,0,0,0,0,0,0,0,0,0,0,0
" ","V960000 960000 Other personal service activities",65,67,89,0,0,0,0,0,0,0,0,0,0,0,0
" ","VSB SB Activities of households as employers of domestic personnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V97000 97000 Activities of households as employers of domestic personnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","V970000 970000 Activities of households as employers of domestic personnel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UDLSPI Discharge to sewerage"
" ","ETOT Industries and households",308639,308619,311684,311957,307553,293269,305797,305897,325717,316474,332879,328267,319360,316627,311433
" ","EHUSHOLD Households",218963,220958,222805,227065,214030,198780,201034,216159,228667,223801,239927,239177,228140,224909,222652
" ","EV Total industries",89676,87661,88878,84892,93523,94489,104762,89738,97050,92673,92953,89090,91220,91718,88781
" ","VA A Agriculture, forestry and fishing",13737,12674,13303,12915,14184,14592,14770,12708,14591,14484,14096,13998,13529,13620,12973
" ","V01000 01000 Agriculture and horticulture",13676,12594,13220,12832,14083,14423,14527,12575,14305,14127,13529,13439,13298,13234,12590
" ","V010000 010000 Agriculture and horticulture",13676,12594,13220,12832,14083,14423,14527,12575,14305,14127,13529,13439,13298,13234,12590
" ","V02000 02000 Forestry",24,48,51,28,32,41,34,25,24,40,25,32,26,25,25
" ","V020000 020000 Forestry",24,48,51,28,32,41,34,25,24,40,25,32,26,25,25
" ","V03000 03000 Fishing",36,33,33,54,69,128,210,108,262,318,541,527,204,360,358
" ","V030000 030000 Fishing",36,33,33,54,69,128,210,108,262,318,541,527,204,360,358
" ","VB B Mining and quarrying",87,63,41,42,38,44,59,38,53,134,116,69,89,111,130
